decile,n_samples,observed_rate,predicted_mean,brier_score
0,25811,0.0,1.1038850971090142e-05,1.440081665027293e-10
1,25813,0.00030992136453278363,3.082260809605941e-05,0.00030990070081315935
2,25811,0.00015497268759645522,5.47454365005251e-05,0.00015496136620640755
3,25812,0.0001549666776554659,9.525189670966938e-05,0.00015494796389248222
4,25809,0.0004262079019099474,0.0001648471225053072,0.0004260974528733641
5,25813,0.00030992136453278363,0.000286593334749341,0.00030983160831965506
6,25806,0.0003100054163951427,0.0005522610736079514,0.00031001228489913046
7,25814,0.0005036026705056429,0.0015083795879036188,0.0005045657744631171
8,25812,0.0011235084384679794,0.010465885512530804,0.001265091123059392
9,25807,0.0018987096846103668,0.24835754930973053,0.09969042986631393
